source_row,fold,role
172,1,train
312,1,train
502,1,train
775,1,train
1041,1,train
1393,1,train
2487,1,train
2580,1,train
3323,1,train
3714,1,train
3723,1,train
4335,1,train
4964,1,train
5002,1,train
5043,1,train
5613,1,train
5657,1,train
5956,1,train
6311,1,train
6424,1,train
6661,1,train
6711,1,train
7323,1,train
7734,1,train
7942,1,train
7961,1,train
8300,1,train
8326,1,train
8892,1,train
9587,1,train
9596,1,train
10246,1,train
10701,1,train
11503,1,train
11577,1,train
11891,1,train
11907,1,train
12366,1,train
12496,1,train
13108,1,train
13648,1,train
13980,1,train
14088,1,train
14817,1,train
15127,1,train
15556,1,train
15921,1,train
16316,1,train
16768,1,train
16880,1,train
16923,1,train
17038,1,train
17055,1,train
17400,1,train
17402,1,train
17480,1,train
18690,1,train
19066,1,train
19566,1,train
19677,1,train
19830,1,train
20149,1,train
20559,1,train
20602,1,train
21161,1,train
21287,1,train
21390,1,train
8110,1,train
8520,1,train
13166,1,train
15891,1,train
3827,1,train
4893,1,train
9661,1,train
14295,1,train
15050,1,train
187,1,train
358,1,train
606,1,train
1278,1,train
1425,1,train
1702,1,train
1774,1,train
1896,1,train
2342,1,train
2527,1,train
2533,1,train
3063,1,train
3174,1,train
3380,1,train
3415,1,train
3753,1,train
3859,1,train
3968,1,train
4169,1,train
4759,1,train
5144,1,train
5396,1,train
5699,1,train
6014,1,train
6114,1,train
6304,1,train
6650,1,train
6859,1,train
6959,1,train
6970,1,train
7505,1,train
7859,1,train
8084,1,train
8166,1,train
8372,1,train
9061,1,train
9126,1,train
9282,1,train
9402,1,train
9557,1,train
10066,1,train
10208,1,train
10573,1,train
10926,1,train
10927,1,train
11299,1,train
11444,1,train
11485,1,train
11607,1,train
11759,1,train
11944,1,train
12161,1,train
12660,1,train
12732,1,train
12777,1,train
13025,1,train
13285,1,train
13809,1,train
13946,1,train
14156,1,train
14197,1,train
14204,1,train
14212,1,train
14869,1,train
16016,1,train
16106,1,train
16775,1,train
16946,1,train
18428,1,train
19511,1,train
19796,1,train
19968,1,train
20053,1,train
20338,1,train
20341,1,train
20381,1,train
20445,1,train
20475,1,train
20554,1,train
20745,1,train
20762,1,train
20955,1,train
21100,1,train
428,1,train
773,1,train
1118,1,train
1260,1,train
1381,1,train
1699,1,train
1831,1,train
2022,1,train
2180,1,train
2616,1,train
2622,1,train
2685,1,train
2966,1,train
3189,1,train
3314,1,train
3448,1,train
3640,1,train
3719,1,train
4595,1,train
4654,1,train
4678,1,train
5352,1,train
5584,1,train
5598,1,train
6296,1,train
6490,1,train
6625,1,train
7583,1,train
8582,1,train
8636,1,train
8766,1,train
8901,1,train
9043,1,train
9089,1,train
9153,1,train
9301,1,train
9327,1,train
9513,1,train
10132,1,train
10226,1,train
10257,1,train
10270,1,train
10511,1,train
10575,1,train
10774,1,train
12042,1,train
12115,1,train
12195,1,train
12258,1,train
12622,1,train
13953,1,train
14352,1,train
14707,1,train
14764,1,train
14955,1,train
15044,1,train
15130,1,train
15262,1,train
15293,1,train
15416,1,train
15606,1,train
15651,1,train
15842,1,train
15947,1,train
15972,1,train
16175,1,train
17031,1,train
17082,1,train
17213,1,train
17321,1,train
17459,1,train
17857,1,train
18115,1,train
18378,1,train
19076,1,train
19610,1,train
19683,1,train
19868,1,train
20049,1,train
20846,1,train
21148,1,train
21496,1,train
139,1,train
160,1,train
657,1,train
1147,1,train
1171,1,train
1401,1,train
1547,1,train
2224,1,train
2878,1,train
3533,1,train
3765,1,train
3848,1,train
4096,1,train
4675,1,train
4728,1,train
4815,1,train
5060,1,train
5422,1,train
5928,1,train
6203,1,train
6642,1,train
6692,1,train
7125,1,train
7191,1,train
7853,1,train
7935,1,train
8342,1,train
8410,1,train
8430,1,train
8510,1,train
8818,1,train
9037,1,train
9072,1,train
9155,1,train
9286,1,train
9751,1,train
9833,1,train
9938,1,train
9941,1,train
10164,1,train
10847,1,train
11307,1,train
11443,1,train
11680,1,train
12149,1,train
12414,1,train
12502,1,train
12542,1,train
12554,1,train
12555,1,train
12693,1,train
12882,1,train
13044,1,train
13422,1,train
13543,1,train
13932,1,train
14096,1,train
14199,1,train
14422,1,train
14508,1,train
14587,1,train
14976,1,train
15456,1,train
15751,1,train
15902,1,train
16342,1,train
16347,1,train
16372,1,train
16419,1,train
16776,1,train
17287,1,train
17348,1,train
17436,1,train
17617,1,train
18274,1,train
18314,1,train
19042,1,train
19124,1,train
19151,1,train
19580,1,train
19606,1,train
19616,1,train
19769,1,train
19814,1,train
20025,1,train
20156,1,train
20519,1,train
20978,1,train
21263,1,train
21269,1,train
21371,1,train
21381,1,train
21574,1,train
508,1,train
732,1,train
896,1,train
1002,1,train
1309,1,train
1613,1,train
1720,1,train
1780,1,train
1995,1,train
