,count,mean,std,min,1%,50%,95%,99%,max
price,17191.0,537432.8549240882,366986.80189123855,75000.0,154995.0,450000.0,1150000.0,1955399.9999999942,7700000.0
bedrooms,17191.0,3.3749054737944273,0.9347761915534781,0.0,2.0,3.0,5.0,6.0,33.0
bathrooms,17191.0,2.1244691989994764,0.7727396067194651,0.0,1.0,2.25,3.5,4.25,8.0
sqft_living,17191.0,2091.4195800127973,927.2185289879127,290.0,720.0,1920.0,3790.0,5010.0,13540.0
sqft_lot,17191.0,14997.579082077831,38875.23555545412,520.0,1012.9,7643.0,43181.5,211632.0999999992,1074218.0
floors,17191.0,1.4988075155604677,0.5414051888187547,1.0,1.0,1.5,2.0,3.0,3.5
waterfront,17191.0,0.007620266418474783,0.08696342838587248,0.0,0.0,0.0,0.0,0.0,1.0
view,17191.0,0.2358792391367576,0.7694920880728886,0.0,0.0,0.0,2.0,4.0,4.0
condition,17191.0,3.42283753126636,0.6600630174766804,1.0,3.0,3.0,5.0,5.0,5.0
grade,17191.0,7.672852073759525,1.1795257440882962,1.0,5.0,7.0,10.0,11.0,13.0
sqft_above,17191.0,1797.5435983945088,835.6249605875892,290.0,700.0,1570.0,3400.0,4400.0,9410.0
sqft_basement,17191.0,293.8759816182886,446.4326168852491,0.0,0.0,0.0,1200.0,1680.0,4820.0
yr_built,17191.0,1971.0931882962016,29.36624037933423,1900.0,1904.0,1975.0,2011.0,2014.0,2015.0
yr_renovated,17191.0,86.95584899075098,407.43798619411285,0.0,0.0,0.0,0.0,2009.0,2015.0
lat,17191.0,47.560904351113955,0.13869810702407395,47.1559,47.250550000000004,47.5741,47.74875,47.7721,47.7776
long,17191.0,-122.21380646850098,0.140953178170416,-122.519,-122.408,-122.231,-121.979,-121.779,-121.315
sqft_living15,17191.0,1992.061602001047,689.3807755793763,460.0,950.0,1840.0,3320.0,4090.9999999999854,6210.0
sqft_lot15,17191.0,12656.31074399395,26291.9209094679,651.0,1192.6,7625.0,36994.5,148566.1999999996,871200.0
