source_row,id,date,partition
0,7129300520,2014-10-13,development
1,6414100192,2014-12-09,development
2,5631500400,2015-02-25,development
3,2487200875,2014-12-09,development
4,1954400510,2015-02-18,development
5,7237550310,2014-05-12,development
6,1321400060,2014-06-27,development
7,2008000270,2015-01-15,development
8,2414600126,2015-04-15,test
9,3793500160,2015-03-12,test
10,1736800520,2015-04-03,test
11,9212900260,2014-05-27,development
12,0114101516,2014-05-28,development
13,6054650070,2014-10-07,development
14,1175000570,2015-03-12,test
15,9297300055,2015-01-24,development
16,1875500060,2014-07-31,development
17,6865200140,2014-05-29,development
18,0016000397,2014-12-05,development
19,7983200060,2015-04-24,test
20,6300500875,2014-05-14,development
21,2524049179,2014-08-26,development
22,7137970340,2014-07-03,development
23,8091400200,2014-05-16,development
24,3814700200,2014-11-20,development
25,1202000200,2014-11-03,development
26,1794500383,2014-06-26,development
27,3303700376,2014-12-01,development
28,5101402488,2014-06-24,development
29,1873100390,2015-03-02,development
30,8562750320,2014-11-10,development
31,2426039314,2014-12-01,development
32,0461000390,2014-06-24,development
33,7589200193,2014-11-10,development
34,7955080270,2014-12-03,development
35,9547205180,2014-06-13,development
36,9435300030,2014-05-28,development
37,2768000400,2014-12-30,development
38,7895500070,2015-02-13,development
39,2078500320,2014-06-20,development
40,5547700270,2014-07-15,development
41,7766200013,2014-08-11,development
42,7203220400,2014-07-07,development
43,9270200160,2014-10-28,development
44,1432701230,2014-07-29,development
45,8035350320,2014-07-18,development
46,8945200830,2015-03-25,test
47,4178300310,2014-07-16,development
48,9215400105,2015-04-28,test
49,0822039084,2015-03-11,test
50,5245600105,2014-09-16,development
51,7231300125,2015-02-17,development
52,7518505990,2014-12-31,development
53,3626039271,2015-02-05,development
54,4217401195,2015-03-03,development
55,9822700295,2014-05-12,development
56,9478500640,2014-08-19,development
57,2799800710,2015-04-07,test
58,7922800400,2014-08-27,development
59,8079040320,2015-02-23,development
60,1516000055,2014-12-10,development
61,9558200045,2014-08-28,development
62,5072410070,2014-10-21,development
63,9528102996,2014-12-07,development
64,1189001180,2014-06-03,development
65,3253500160,2014-11-20,development
66,3394100030,2014-09-09,development
67,3717000160,2014-10-09,development
68,1274500060,2014-08-25,development
69,1802000060,2014-06-12,development
70,1525059190,2014-09-12,development
71,1049000060,2015-01-05,development
72,8820901275,2014-06-10,development
73,5416510140,2014-07-10,development
74,3444100400,2015-03-16,test
75,3276920270,2014-11-05,development
76,4036801170,2014-10-13,development
77,2391600320,2015-04-20,test
78,6300000287,2014-06-09,development
79,1531000030,2015-03-23,test
80,5104520400,2014-12-02,development
81,7437100340,2014-12-22,development
82,9418400240,2014-10-28,development
83,1523059105,2015-01-28,development
84,1133000671,2014-06-02,development
85,4232902595,2014-11-14,development
86,2599001200,2014-11-03,development
87,3342103156,2014-06-18,development
88,1332700270,2014-05-19,development
89,3869900162,2014-09-04,development
90,2791500270,2014-05-22,development
91,5036300431,2015-03-11,test
92,4168000060,2015-02-26,development
93,6021501535,2014-07-25,development
94,6021501535,2014-12-23,development
95,1483300570,2014-09-08,development
96,3422049190,2015-03-30,test
97,1099611230,2014-09-12,development
98,0722079104,2014-07-11,development
99,7338200240,2014-05-16,development
100,1952200240,2014-06-11,development
101,5200100125,2014-10-27,development
102,7214720075,2014-12-12,development
103,2450000295,2014-10-07,development
104,6197800045,2014-09-24,development
105,1328310370,2015-04-02,test
106,0546000875,2014-05-23,development
107,3530510041,2014-07-23,development
108,1853000400,2015-03-05,development
109,3134100116,2014-08-27,development
110,9545230140,2014-07-25,development
111,3362400511,2015-03-04,development
112,2525310310,2014-09-16,development
113,6126500060,2014-11-24,development
114,8961960160,2014-10-28,development
115,3626039325,2014-11-21,development
116,3362400431,2014-06-26,development
117,4060000240,2014-06-23,development
118,3454800060,2015-01-08,development
119,1695900060,2015-05-11,test
120,7278700070,2015-01-02,development
121,6675500070,2014-11-19,development
122,3626039187,2015-04-06,test
123,3524049083,2014-11-04,development
124,3275860240,2014-06-18,development
125,4389200955,2015-03-02,development
126,4058801670,2014-07-17,development
127,8732020310,2014-07-17,development
128,2331300505,2014-06-13,development
129,7853210060,2015-04-06,test
130,3668000070,2015-01-05,development
131,9545240070,2015-04-28,test
132,1243100136,2014-06-12,development
133,8929000270,2014-05-12,development
134,2767602356,2015-01-26,development
135,0921049315,2014-08-13,development
136,3655000070,2014-08-05,development
137,4027700812,2014-05-29,development
138,3992700335,2014-07-07,development
139,2767603505,2014-05-07,development
140,4232901525,2014-06-27,development
141,1777500060,2014-07-08,development
142,1432900240,2015-05-08,test
143,6140100875,2015-04-15,test
144,6071600370,2015-02-27,development
145,1526069017,2014-12-03,development
146,0809001525,2014-06-25,development
147,3224079105,2014-08-06,development
148,8075400570,2014-10-30,development
149,1994200024,2014-11-04,development
150,3362900810,2014-08-20,development
151,1324300398,2015-04-09,test
152,0537000445,2015-03-31,test
153,7855801670,2015-04-01,test
154,7920100045,2014-05-16,development
155,8960000030,2014-07-28,development
156,6388930390,2014-11-20,development
157,8731900200,2014-08-07,development
158,8029200135,2014-11-13,development
159,1081200350,2014-10-03,development
160,0084000105,2014-05-07,development
161,3756500060,2015-03-09,development
162,7215720160,2015-03-04,development
163,3574800520,2014-06-20,development
164,2617300160,2014-08-12,development
165,2558660270,2014-12-08,development
166,2009000370,2015-02-19,development
167,1836980160,2015-03-24,test
168,3261020370,2014-06-05,development
169,1755700060,2014-06-11,development
170,4330600435,2015-03-16,test
171,9542800700,2015-01-02,development
172,1999700045,2014-05-02,development
173,1762600070,2015-01-16,development
174,1687900520,2014-09-29,development
175,7234600798,2015-02-10,development
176,3881900445,2014-07-09,development
177,2254502445,2014-05-30,development
178,5437810320,2014-11-17,development
179,9158100075,2015-01-07,development
180,3830630310,2014-07-25,development
181,8123100045,2015-04-14,test
182,3127200041,2014-06-13,development
183,6661200320,2014-07-23,development
184,0011510310,2014-09-05,development
185,0825059270,2014-11-21,development
186,8731951370,2015-04-15,test
187,1954440060,2014-05-05,development
188,2264500350,2015-04-18,test
189,1115810060,2014-12-05,development
190,9477200200,2014-08-18,development
191,1432600560,2014-11-05,development
192,2287000060,2014-09-12,development
193,3663500060,2014-06-25,development
194,3996900125,2014-12-01,development
195,7796450200,2014-05-15,development
196,7549802535,2014-11-11,development
197,3278600320,2014-07-23,development
198,2824079053,2015-01-13,development
199,1222069094,2014-10-14,development
200,3542300060,2015-03-11,test
201,2222059065,2014-11-12,development
202,7551300060,2014-07-16,development
203,0100600550,2014-08-04,development
204,3211100860,2015-03-03,development
205,3456000310,2014-08-04,development
206,9526600140,2014-09-19,development
207,7465900060,2015-02-05,development
208,1222000055,2014-11-23,development
209,6300000550,2014-07-17,development
210,2310030510,2015-04-22,test
211,1025049114,2014-07-17,development
212,8677300550,2014-05-15,development
213,4014400292,2015-01-14,development
214,1102000196,2014-05-27,development
215,0257000138,2015-01-15,development
216,0046100204,2015-02-21,development
217,1909600046,2014-07-03,development
218,1250202145,2014-08-28,development
219,7611200125,2014-10-23,development
220,5611500140,2014-08-22,development
221,7138000260,2014-06-05,development
222,0626059335,2014-09-04,development
223,1922059282,2014-09-18,development
224,0705700390,2014-09-03,development
225,7454001200,2014-06-04,development
226,8682281200,2015-03-09,development
227,7972000200,2014-05-29,development
228,0722059070,2015-01-15,development
229,7202340400,2015-03-03,development
230,8096000060,2015-04-13,test
231,2424000060,2014-06-16,development
232,9264902050,2014-11-21,development
233,0943100260,2014-11-20,development
234,3677400445,2014-09-02,development
235,1762600320,2014-06-10,development
236,4058000060,2015-04-09,test
237,7228500560,2015-03-20,test
238,0326069104,2014-07-01,development
239,5152100060,2014-05-29,development
240,3584000310,2014-12-08,development
241,8150100045,2014-10-01,development
242,1868901275,2015-01-27,development
243,6131600075,2015-04-27,test
244,9468200125,2014-08-26,development
245,8029510030,2015-02-12,development
246,2025069065,2014-09-29,development
247,7899800890,2015-02-26,development
248,3021059276,2015-03-14,test
249,3797001895,2015-04-22,test
250,3832710960,2014-09-23,development
251,1310430400,2014-05-13,development
252,1422300030,2015-04-01,test
253,1105000588,2015-04-21,test
254,3830630060,2014-09-29,development
255,5101404898,2014-05-19,development
256,7972601890,2014-10-20,development
257,5127001620,2015-02-11,development
258,9407100800,2014-11-24,development
259,1873100060,2014-08-29,development
260,8722101360,2014-12-02,development
261,8644000060,2014-10-24,development
262,3325069129,2014-12-16,development
263,1400300055,2015-04-28,test
264,2123039032,2014-10-27,development
265,8078560140,2014-05-19,development
266,3438500192,2014-09-29,development
267,7974200510,2014-08-14,development
268,2557000400,2015-04-09,test
269,7960900060,2015-05-04,test
270,4054500390,2014-10-07,development
271,6378500125,2015-05-01,test
