source_row,janela,preco_real,preco_previsto
12703,1,390000.0,458832.57724279485
13389,1,594950.0,611124.1842314225
13743,1,810000.0,815690.4331394066
16438,1,755000.0,761923.7652353544
101,1,555000.0,598591.2012776718
264,1,369900.0,393090.79362480546
326,1,274975.0,649400.261326636
377,1,275000.0,278303.0783989087
483,1,525000.0,379453.53020594927
559,1,331500.0,302830.6444664101
1333,1,430000.0,352984.6014453115
1473,1,650000.0,606973.7655911082
1556,1,307500.0,301996.0472135034
1678,1,275000.0,310904.61074106453
1765,1,390000.0,355584.651625765
2140,1,1700000.0,1118945.1842276882
2247,1,600000.0,609535.825005858
2275,1,610000.0,584975.2217461384
2402,1,322500.0,315588.9337078338
2411,1,487000.0,554918.3539194182
2584,1,387000.0,359009.62049884774
3230,1,511718.0,502761.86332079285
3680,1,135000.0,268787.87294819666
3870,1,120000.0,211021.11593124788
4305,1,315000.0,307984.335954662
4468,1,925000.0,1006907.8738018763
4792,1,720000.0,706442.4363230056
5389,1,630000.0,706660.0123206057
5533,1,530000.0,546264.8299934586
6045,1,2196000.0,1602920.3577997144
6108,1,361500.0,415268.47903830174
6678,1,830000.0,857815.8738013465
6795,1,472000.0,485544.98426529864
6936,1,315000.0,281823.5447744086
7003,1,513000.0,596078.8512855243
7381,1,460000.0,514526.7330003202
7807,1,485000.0,438687.32283384283
8414,1,212000.0,254207.78558517701
8456,1,299000.0,299927.1669734474
8624,1,299990.0,333766.9290613487
8656,1,440000.0,461153.8791630116
9341,1,339950.0,372655.04232208093
10148,1,333500.0,373863.97097344685
10223,1,535000.0,566766.2277069293
10295,1,260000.0,340209.0017207906
10437,1,350000.0,321504.4246543028
10536,1,901000.0,972879.83104323
11075,1,315000.0,282524.93206304545
11381,1,355000.0,471075.51219523547
11583,1,306500.0,320897.3482658863
11679,1,840000.0,823477.6233401779
11732,1,530000.0,468461.3650548342
11918,1,447000.0,489703.2412007327
12019,1,1100000.0,690973.6075286447
12059,1,715000.0,542148.9748121412
12853,1,315000.0,334673.96422036825
12890,1,400000.0,363323.7435829721
12951,1,246000.0,391039.0027523676
13238,1,685000.0,399861.6814953312
13772,1,289000.0,242355.90870622615
14169,1,321500.0,325982.4325966037
14544,1,325250.0,299520.7573556998
14589,1,1045000.0,999928.2851358181
14777,1,299000.0,354316.15520623536
14896,1,667500.0,594626.7462874801
14980,1,935000.0,1160088.5393433205
15208,1,155000.0,193839.4936797176
15543,1,210000.0,268042.6841036287
15683,1,620000.0,582279.5800697736
15740,1,546200.0,604664.1900014358
15823,1,435000.0,453005.28668214806
15968,1,279950.0,251029.4670793421
15997,1,415000.0,417578.14939791925
16010,1,540000.0,537063.3671810246
16191,1,465000.0,373563.1865065247
16796,1,278000.0,299196.6038794628
16820,1,280500.0,284875.8948178277
17115,1,182500.0,185202.5237017994
17117,1,360000.0,482927.8631098847
17191,1,997950.0,858087.286936729
17461,1,622200.0,428677.6239205382
17522,1,605000.0,685479.4045777292
17656,1,598555.0,630834.8241611016
17814,1,334500.0,301975.44864838483
17924,1,420000.0,515581.8583364879
18049,1,314000.0,240660.2793430376
18441,1,330000.0,347931.5083889655
18522,1,287500.0,335061.1438141715
18615,1,483000.0,523344.44017898745
18684,1,360000.0,390542.3315385148
18962,1,450000.0,470741.8661847746
19059,1,218000.0,230253.09022502034
19522,1,268000.0,296940.67519966053
19970,1,600000.0,584487.4027027271
20461,1,489950.0,568929.8372536405
20580,1,289000.0,262901.62305150274
21033,1,1049990.0,995510.0135983422
21370,1,331000.0,363011.33382728876
43,1,685000.0,590740.1630603304
82,1,355000.0,318605.84567642875
114,1,480000.0,430514.0075444162
430,1,328500.0,374983.84487058525
560,1,460000.0,390063.33579734614
970,1,532500.0,495594.08889688266
1252,1,399000.0,436398.04735360236
1373,1,830000.0,875821.1238993495
1624,1,750000.0,754915.5888752316
2356,1,618000.0,716922.1416284641
2593,1,337500.0,309411.9039581654
3003,1,259000.0,293369.3532862403
3054,1,308000.0,377429.8425538203
3131,1,759000.0,942548.3561593315
3175,1,520000.0,627531.7222805467
3304,1,206000.0,216705.03574377712
3343,1,247300.0,332675.30711037526
3469,1,330000.0,329183.79597951
3483,1,209950.0,211084.88843580466
3686,1,436300.0,442165.66394066217
4375,1,352800.0,375451.2490950359
4476,1,400000.0,404792.1582228985
4567,1,599000.0,578301.4374333441
4853,1,840000.0,760816.6674637916
5276,1,226450.0,215970.3965923448
5313,1,349000.0,304321.9095377928
5629,1,350000.0,422260.8372944654
5636,1,420000.0,421604.6570442469
5675,1,1419000.0,1506081.6489178874
6051,1,312000.0,348683.0665013415
6096,1,427500.0,409092.92686757393
6117,1,277500.0,240704.76418728367
6168,1,435000.0,460546.67876718217
6306,1,313000.0,322089.1381680578
6366,1,817000.0,861554.862708439
6616,1,299950.0,260288.4946462573
6755,1,350000.0,320637.9726816883
6976,1,415000.0,444507.32849701704
7097,1,285000.0,604548.9636631652
7133,1,445000.0,465885.8863035081
7197,1,235000.0,298786.4246192539
7289,1,390000.0,488620.92970307433
7334,1,483000.0,482761.3608677619
7887,1,439000.0,603532.1970688473
8020,1,450000.0,456893.1635769824
8073,1,270000.0,247879.16451315288
8612,1,340000.0,307377.6837320009
8629,1,575000.0,638325.2118584091
8673,1,1090000.0,978021.0934437073
8744,1,490000.0,522116.8795842352
9075,1,765000.0,675039.5448549268
9194,1,240000.0,249721.8727357753
9312,1,370000.0,285851.75864833547
9338,1,217000.0,217092.07243825847
9620,1,473000.0,403417.6382221113
9713,1,1250000.0,1098688.353608072
9753,1,246000.0,289256.1947578238
9974,1,230000.0,223280.56219874314
10065,1,315000.0,381596.7312522458
10144,1,245000.0,223226.66926351175
10280,1,550000.0,592997.2264465531
10345,1,324000.0,301092.55709539313
10384,1,695000.0,691894.6494240203
10500,1,476000.0,459779.3496929982
11014,1,397500.0,465057.4135557811
11372,1,292500.0,294352.94162802066
11412,1,484950.0,556528.1910594966
11439,1,935000.0,894447.7060903837
11462,1,290000.0,265539.42563300644
11526,1,825000.0,807550.5968534482
12396,1,943500.0,877820.3597279236
12563,1,845000.0,823723.0931607233
12566,1,400000.0,468268.77579630347
12576,1,309500.0,260881.15775189936
12620,1,669888.0,599001.1054045209
12658,1,290000.0,365494.92022220406
13500,1,372000.0,405957.97869117645
13527,1,940000.0,905112.3932096843
14038,1,202950.0,183164.44797395868
14226,1,749500.0,687260.792207218
14278,1,769950.0,752720.7692407306
14454,1,159995.0,165635.9936428766
14699,1,526500.0,501963.6175232097
14907,1,740000.0,854979.3445798963
15229,1,1395000.0,943226.0862941542
15290,1,340000.0,361660.104399082
15490,1,320000.0,307464.7091313166
15578,1,369950.0,379222.36224617914
15815,1,322000.0,288327.47378989076
16247,1,255000.0,240445.14246697372
16429,1,865000.0,874071.1980591994
16599,1,710000.0,729099.7214976179
16881,1,353500.0,279284.9244041637
16884,1,547500.0,560449.1007705261
16905,1,520000.0,609564.4589323985
17064,1,550000.0,776491.8759221575
17265,1,545000.0,704404.1714064173
17333,1,430000.0,408950.0484098795
17560,1,879000.0,1082782.7298457085
17621,1,450000.0,387980.48909738834
17796,1,389000.0,386221.22887934186
17939,1,424000.0,441889.27606937685
18574,1,397380.0,353759.42782619415
18604,1,815000.0,466376.199925654
18722,1,1225000.0,882733.7251398633
18826,1,760000.0,685205.4441411928
18891,1,391265.0,420955.03834975924
19069,1,275000.0,295613.22261372965
19107,1,429000.0,404574.0905467087
19526,1,1010000.0,1082745.976681732
20144,1,1575000.0,1006565.5042152556
20219,1,515000.0,515658.5183213063
20305,1,849990.0,855115.3074183156
20906,1,274900.0,270435.63179216924
20954,1,492000.0,514713.8477633753
21243,1,630000.0,588225.6593051294
21323,1,1500000.0,1251806.7635778836
516,1,308000.0,309455.6560332353
820,1,325000.0,229725.50226167843
1146,1,510000.0,498414.5224643922
1628,1,880000.0,739331.7287399916
1639,1,810000.0,683398.7658877608
1676,1,2250000.0,1989283.629103492
1682,1,390000.0,342277.6366512327
2190,1,568000.0,649486.1130919831
2231,1,529219.0,538769.5030040067
2687,1,385195.0,314159.2691187776
2777,1,325900.0,295831.34246080305
3215,1,650000.0,593293.1016484349
3546,1,436000.0,450575.586150165
3731,1,470000.0,460649.39014746645
3762,1,524500.0,507347.03664725734
3875,1,387000.0,412340.47599194443
4098,1,1055000.0,898315.8777653845
4241,1,865000.0,896809.3633513482
4350,1,659950.0,670987.1219965992
4417,1,299950.0,320949.00631892605
4424,1,355000.0,336649.58893413545
4602,1,435000.0,412738.0701024894
5075,1,465000.0,365571.46589060803
5256,1,294000.0,425035.8421724076
5723,1,96500.0,154137.39116671597
5820,1,653000.0,427904.66925840994
6129,1,590000.0,507722.6164406114
6413,1,481500.0,421274.7427772571
6587,1,740000.0,821871.6303028997
7282,1,600000.0,467430.1304802648
7344,1,922000.0,968900.332671477
7419,1,393000.0,296876.9275000708
7839,1,315000.0,304609.5031776315
7869,1,231200.0,229714.45424140268
7993,1,342000.0,371870.57481274876
8202,1,389500.0,365480.1335543711
8243,1,695000.0,659747.8201918914
8306,1,549000.0,575769.7885866412
9123,1,245000.0,256530.4147329971
9421,1,329922.0,343387.5926585075
9606,1,608000.0,599442.7430695732
9881,1,738000.0,865393.1814809293
9912,1,240000.0,284019.87612301
10973,1,595000.0,568194.4219175488
11357,1,246950.0,268335.1621465889
11361,1,495000.0,524257.7368343905
11573,1,680000.0,605487.3706737143
11689,1,400000.0,259907.25077006032
12094,1,630000.0,629836.4705987654
12104,1,1430000.0,1317386.200951009
12319,1,795127.0,893592.3357591601
12527,1,625000.0,614710.8339895869
13288,1,322000.0,301409.0999513116
13425,1,1169000.0,1198133.4991931678
13797,1,535000.0,583257.5378826185
13894,1,467000.0,469190.10188113316
13922,1,572500.0,610740.9962741699
14231,1,815000.0,844776.211874844
15161,1,650000.0,599983.1826733749
15442,1,195000.0,299619.35769574915
15707,1,480000.0,472494.5498020926
15780,1,359950.0,398474.9005174631
16272,1,276693.0,335821.2634274695
16597,1,376000.0,492827.2809792379
16610,1,270000.0,260537.17512451316
16633,1,205000.0,205053.5557417176
16695,1,221000.0,234020.63363953127
16962,1,152500.0,162263.4883970118
17000,1,495000.0,502766.2722157879
17384,1,297000.0,306321.68691059545
17444,1,979700.0,757383.8896640734
17745,1,272450.0,277376.21210246277
17804,1,550000.0,580581.3003700438
17885,1,645000.0,685933.9322591132
18039,1,344000.0,309066.98290830664
18108,1,290000.0,271663.57955276454
18189,1,770000.0,841818.8136748056
18379,1,265000.0,404327.9623632374
18572,1,299000.0,280441.6840610618
18639,1,410000.0,440010.1420119799
19239,1,340000.0,368800.6923082725
19421,1,610000.0,608512.0063640976
19540,1,588000.0,578350.8536388404
19647,1,1040890.0,1007426.7153589835
19725,1,1375000.0,1137186.5374589125
19739,1,450000.0,484600.4944380907
20119,1,399000.0,394528.99456608016
20132,1,552000.0,527243.8962310189
20500,1,1699990.0,1424886.5863092276
20544,1,455000.0,457073.72342125006
20820,1,452000.0,461679.6832699654
21149,1,950000.0,957878.0764414318
21218,1,465000.0,424750.7821754382
148,1,258000.0,285492.04955582327
493,1,669950.0,574831.204816609
541,1,280000.0,302244.6803553761
