source_row,id,date,zipcode,price,predicted_price,ridge_prediction,erro,erro_absoluto,erro_percentual,faixa_preco,grade,waterfront
12370,6065300370,2015-05-06,98006,4208000.0,2426243.267057828,1841673.7431979768,-1781756.7329421719,1781756.7329421719,42.34212768398698,Acima de 1 milhão,12,0
1315,7558700030,2015-04-13,98040,5300000.0,3585142.153944565,2921083.9510478075,-1714857.846055435,1714857.846055435,32.355808416140285,Acima de 1 milhão,12,1
5449,6065300840,2015-05-01,98006,2850000.0,1370987.6903656516,1291573.2196467626,-1479012.3096343484,1479012.3096343484,51.895168759099946,Acima de 1 milhão,10,0
19684,1973700030,2015-04-29,98034,2205000.0,976596.001635375,930098.711614948,-1228403.998364625,1228403.998364625,55.70993189862245,Acima de 1 milhão,10,0
7311,6072800170,2015-04-28,98006,2500000.0,1407792.277676825,1091608.297181146,-1092207.722323175,1092207.722323175,43.688308892927004,Acima de 1 milhão,10,0
18482,4389201095,2015-05-11,98004,3650000.0,2602350.2354777176,1886686.4248679392,-1047649.7645222824,1047649.7645222824,28.702733274583082,Acima de 1 milhão,12,0
13700,4139900180,2015-04-20,98006,2340000.0,1334352.4702787749,1411367.0410741258,-1005647.5297212251,1005647.5297212251,42.97639015902672,Acima de 1 milhão,13,0
10446,1118000320,2015-05-08,98112,3400000.0,2416781.23729896,1589834.3448457965,-983218.7627010401,983218.7627010401,28.91819890297177,Acima de 1 milhão,11,0
20460,9808100150,2015-04-02,98004,3345000.0,2418924.1871089474,1855770.0793220543,-926075.8128910526,926075.8128910526,27.685375572228775,Acima de 1 milhão,11,0
15828,4139420190,2015-05-12,98006,2480000.0,1629538.0848481872,1636858.7232550583,-850461.9151518128,850461.9151518128,34.292819159347296,Acima de 1 milhão,12,0
