source_row,modelo,janela,preco_real,preco_previsto
12703,Mediana,1,390000.0,455000.0
13389,Mediana,1,594950.0,455000.0
13743,Mediana,1,810000.0,455000.0
16438,Mediana,1,755000.0,455000.0
101,Mediana,1,555000.0,455000.0
264,Mediana,1,369900.0,455000.0
326,Mediana,1,274975.0,455000.0
377,Mediana,1,275000.0,455000.0
483,Mediana,1,525000.0,455000.0
559,Mediana,1,331500.0,455000.0
1333,Mediana,1,430000.0,455000.0
1473,Mediana,1,650000.0,455000.0
1556,Mediana,1,307500.0,455000.0
1678,Mediana,1,275000.0,455000.0
1765,Mediana,1,390000.0,455000.0
2140,Mediana,1,1700000.0,455000.0
2247,Mediana,1,600000.0,455000.0
2275,Mediana,1,610000.0,455000.0
2402,Mediana,1,322500.0,455000.0
2411,Mediana,1,487000.0,455000.0
2584,Mediana,1,387000.0,455000.0
3230,Mediana,1,511718.0,455000.0
3680,Mediana,1,135000.0,455000.0
3870,Mediana,1,120000.0,455000.0
4305,Mediana,1,315000.0,455000.0
4468,Mediana,1,925000.0,455000.0
4792,Mediana,1,720000.0,455000.0
5389,Mediana,1,630000.0,455000.0
5533,Mediana,1,530000.0,455000.0
6045,Mediana,1,2196000.0,455000.0
6108,Mediana,1,361500.0,455000.0
6678,Mediana,1,830000.0,455000.0
6795,Mediana,1,472000.0,455000.0
6936,Mediana,1,315000.0,455000.0
7003,Mediana,1,513000.0,455000.0
7381,Mediana,1,460000.0,455000.0
7807,Mediana,1,485000.0,455000.0
8414,Mediana,1,212000.0,455000.0
8456,Mediana,1,299000.0,455000.0
8624,Mediana,1,299990.0,455000.0
8656,Mediana,1,440000.0,455000.0
9341,Mediana,1,339950.0,455000.0
10148,Mediana,1,333500.0,455000.0
10223,Mediana,1,535000.0,455000.0
10295,Mediana,1,260000.0,455000.0
10437,Mediana,1,350000.0,455000.0
10536,Mediana,1,901000.0,455000.0
11075,Mediana,1,315000.0,455000.0
11381,Mediana,1,355000.0,455000.0
11583,Mediana,1,306500.0,455000.0
11679,Mediana,1,840000.0,455000.0
11732,Mediana,1,530000.0,455000.0
11918,Mediana,1,447000.0,455000.0
12019,Mediana,1,1100000.0,455000.0
12059,Mediana,1,715000.0,455000.0
12853,Mediana,1,315000.0,455000.0
12890,Mediana,1,400000.0,455000.0
12951,Mediana,1,246000.0,455000.0
13238,Mediana,1,685000.0,455000.0
13772,Mediana,1,289000.0,455000.0
14169,Mediana,1,321500.0,455000.0
14544,Mediana,1,325250.0,455000.0
14589,Mediana,1,1045000.0,455000.0
14777,Mediana,1,299000.0,455000.0
14896,Mediana,1,667500.0,455000.0
14980,Mediana,1,935000.0,455000.0
15208,Mediana,1,155000.0,455000.0
15543,Mediana,1,210000.0,455000.0
15683,Mediana,1,620000.0,455000.0
15740,Mediana,1,546200.0,455000.0
15823,Mediana,1,435000.0,455000.0
15968,Mediana,1,279950.0,455000.0
15997,Mediana,1,415000.0,455000.0
16010,Mediana,1,540000.0,455000.0
16191,Mediana,1,465000.0,455000.0
16796,Mediana,1,278000.0,455000.0
16820,Mediana,1,280500.0,455000.0
17115,Mediana,1,182500.0,455000.0
17117,Mediana,1,360000.0,455000.0
17191,Mediana,1,997950.0,455000.0
17461,Mediana,1,622200.0,455000.0
17522,Mediana,1,605000.0,455000.0
17656,Mediana,1,598555.0,455000.0
17814,Mediana,1,334500.0,455000.0
17924,Mediana,1,420000.0,455000.0
18049,Mediana,1,314000.0,455000.0
18441,Mediana,1,330000.0,455000.0
18522,Mediana,1,287500.0,455000.0
18615,Mediana,1,483000.0,455000.0
18684,Mediana,1,360000.0,455000.0
18962,Mediana,1,450000.0,455000.0
19059,Mediana,1,218000.0,455000.0
19522,Mediana,1,268000.0,455000.0
19970,Mediana,1,600000.0,455000.0
20461,Mediana,1,489950.0,455000.0
20580,Mediana,1,289000.0,455000.0
21033,Mediana,1,1049990.0,455000.0
21370,Mediana,1,331000.0,455000.0
43,Mediana,1,685000.0,455000.0
82,Mediana,1,355000.0,455000.0
114,Mediana,1,480000.0,455000.0
430,Mediana,1,328500.0,455000.0
560,Mediana,1,460000.0,455000.0
970,Mediana,1,532500.0,455000.0
1252,Mediana,1,399000.0,455000.0
1373,Mediana,1,830000.0,455000.0
1624,Mediana,1,750000.0,455000.0
2356,Mediana,1,618000.0,455000.0
2593,Mediana,1,337500.0,455000.0
3003,Mediana,1,259000.0,455000.0
3054,Mediana,1,308000.0,455000.0
3131,Mediana,1,759000.0,455000.0
3175,Mediana,1,520000.0,455000.0
3304,Mediana,1,206000.0,455000.0
3343,Mediana,1,247300.0,455000.0
3469,Mediana,1,330000.0,455000.0
3483,Mediana,1,209950.0,455000.0
3686,Mediana,1,436300.0,455000.0
4375,Mediana,1,352800.0,455000.0
4476,Mediana,1,400000.0,455000.0
4567,Mediana,1,599000.0,455000.0
4853,Mediana,1,840000.0,455000.0
5276,Mediana,1,226450.0,455000.0
5313,Mediana,1,349000.0,455000.0
5629,Mediana,1,350000.0,455000.0
5636,Mediana,1,420000.0,455000.0
5675,Mediana,1,1419000.0,455000.0
6051,Mediana,1,312000.0,455000.0
6096,Mediana,1,427500.0,455000.0
6117,Mediana,1,277500.0,455000.0
6168,Mediana,1,435000.0,455000.0
6306,Mediana,1,313000.0,455000.0
6366,Mediana,1,817000.0,455000.0
