,por_venda,por_cep
hous_val_amt,0.6772475147601876,0.9134718040188333
per_hsd,-0.642267713179887,-0.8876274798201069
per_bchlr,0.650112819578527,0.8855452525866184
per_prfsnl,0.6487106869725466,0.8786432266271808
medn_incm_per_prsn_amt,0.6244086009906825,0.8446167057732179
per_9_to_12,-0.5585013524846416,-0.7917984279204792
per_less_than_9,-0.4735989088086133,-0.6722167254984133
edctn_9_12_qty,-0.5083647566303352,-0.6621813171305783
edctn_high_schl_qty,-0.5122958728812141,-0.6536597331799774
edctn_prfsnl_qty,0.49718205132424614,0.6235454703894553
edctn_less_than_9_qty,-0.44619798531263355,-0.5937811699788348
edctn_bchlr_dgre_qty,0.3863907482021242,0.49528425815556426
medn_hshld_incm_amt,0.2638473687043796,0.3910129670639194
per_some_clg,-0.31432996235962374,-0.38289624281741386
per_assoc,-0.24615397678063766,-0.29332261268039755
edctn_some_clg_qty,-0.21544526802263442,-0.28021487758711205
non_farm_qty,-0.1900372250345219,-0.2645852549388541
per_urbn,0.18639587617658412,0.26242767190885574
edctn_assoc_dgre_qty,-0.19369360833437776,-0.25935711974498404
ppltn_qty,-0.1274118446124891,-0.2111498019135557
urbn_ppltn_qty,-0.10006761760412394,-0.1774814525722292
farm_ppltn_qty,-0.1583765800305174,-0.1524442581211978
per_non_farm,-0.12680255249226902,-0.1403047389239562
per_farm,-0.07339654911650431,-0.0857954751258776
sbrbn_ppltn_qty,0.0020779310368690216,-0.0049710169705001325
per_sbrbn,0.0020779310368690216,-0.0049710169705001325
