date,vendas,cobertura
2014-05,1768,mês inicial parcial
2014-06,2180,entre os limites do período observado
2014-07,2211,entre os limites do período observado
2014-08,1940,entre os limites do período observado
2014-09,1774,entre os limites do período observado
2014-10,1878,entre os limites do período observado
2014-11,1411,entre os limites do período observado
2014-12,1471,entre os limites do período observado
2015-01,978,entre os limites do período observado
2015-02,1250,entre os limites do período observado
2015-03,1875,entre os limites do período observado
2015-04,2231,entre os limites do período observado
2015-05,646,mês final parcial
