,pearson,spearman
grade,0.6674342560202353,0.6582152214259375
sqft_living,0.7020350546118005,0.6441909821578402
sqft_living15,0.5853789035795692,0.5722897679433037
sqft_above,0.6055672983560784,0.5417515924329482
bathrooms,0.5251375054139628,0.49716035081092047
lat,0.3070034799952544,0.45640946604985316
bedrooms,0.30834959814563934,0.34465237095978885
floors,0.25679388755071897,0.32234655003563695
view,0.39729348829450273,0.293931164170243
sqft_basement,0.3238160207119844,0.2517044011745261
waterfront,0.26636943403060204,0.11508928028664418
yr_built,0.05401153149479249,0.10203756645939753
yr_renovated,0.1264337934408933,0.10187550718175703
sqft_lot,0.0896608605871003,0.0749393702845739
long,0.021626241039337152,0.06353710991152767
sqft_lot15,0.08244715251948544,0.06276581932483258
condition,0.03636178912899721,0.018489958301262523
