,count,mean,std,min,1%,50%,95%,99%,max
price,21613.0,540088.1417665294,367127.1964826998,75000.0,153500.36,450000.0,1156479.9999999974,1964400.0000000051,7700000.0
bedrooms,21613.0,3.37084162309721,0.9300618311474514,0.0,2.0,3.0,5.0,6.0,33.0
bathrooms,21613.0,2.1147573219821405,0.7701631572177421,0.0,1.0,2.25,3.5,4.25,8.0
sqft_living,21613.0,2079.8997362698374,918.4408970468115,290.0,720.0,1910.0,3760.0,4978.80000000001,13540.0
sqft_lot,21613.0,15106.967565816869,41420.51151513548,520.0,1013.12,7618.0,43339.19999999996,213008.0,1651359.0
floors,21613.0,1.4943089807060566,0.5399888951423463,1.0,1.0,1.5,2.0,3.0,3.5
waterfront,21613.0,0.007541757275713691,0.08651719772788764,0.0,0.0,0.0,0.0,0.0,1.0
view,21613.0,0.23430342849211122,0.7663175692736122,0.0,0.0,0.0,2.0,4.0,4.0
condition,21613.0,3.4094295100171195,0.650743046366207,1.0,3.0,3.0,5.0,5.0,5.0
grade,21613.0,7.656873178179799,1.175458756974335,1.0,5.0,7.0,10.0,11.0,13.0
sqft_above,21613.0,1788.3906907879516,828.090977651917,290.0,700.0,1560.0,3400.0,4370.0,9410.0
sqft_basement,21613.0,291.5090454818859,442.57504267746816,0.0,0.0,0.0,1190.0,1660.0,4820.0
yr_built,21613.0,1971.0051357978994,29.37341080238659,1900.0,1904.0,1975.0,2011.0,2014.0,2015.0
yr_renovated,21613.0,84.40225790033776,401.6792400191759,0.0,0.0,0.0,0.0,2008.0,2015.0
lat,21613.0,47.560052519317075,0.13856371024192418,47.1559,47.256872,47.5718,47.74964,47.772688,47.7776
long,21613.0,-122.21389640494147,0.14082834238139405,-122.519,-122.408,-122.23,-121.979,-121.783,-121.315
sqft_living15,21613.0,1986.552491556008,685.3913042527774,399.0,950.0,1840.0,3300.0,4080.0,6210.0
sqft_lot15,21613.0,12768.455651691113,27304.17963133851,651.0,1191.24,7620.0,37062.799999999974,157687.0,871200.0
