source_row,janela,preco_real,preco_previsto
12703,1,390000.0,465976.8799555598
13389,1,594950.0,569532.171852892
13743,1,810000.0,827940.6489972163
16438,1,755000.0,711574.6878985739
101,1,555000.0,602514.9957468056
264,1,369900.0,395001.3925664282
326,1,274975.0,656705.2050014499
377,1,275000.0,273078.11826866225
483,1,525000.0,405827.00223997084
559,1,331500.0,296413.97420992306
1333,1,430000.0,348044.2202296364
1473,1,650000.0,557912.8133535213
1556,1,307500.0,295556.495429727
1678,1,275000.0,291602.2034168842
1765,1,390000.0,351754.2088513054
2140,1,1700000.0,1256605.6232919432
2247,1,600000.0,623509.7343345945
2275,1,610000.0,558037.4211867254
2402,1,322500.0,316927.15744907694
2411,1,487000.0,603803.5863444307
2584,1,387000.0,354618.70157995645
3230,1,511718.0,475791.78775296255
3680,1,135000.0,306526.7336141095
3870,1,120000.0,209346.18755059806
4305,1,315000.0,294720.9381893755
4468,1,925000.0,1115701.2307794553
4792,1,720000.0,757904.4827162198
5389,1,630000.0,664867.1661294973
5533,1,530000.0,544929.109694763
6045,1,2196000.0,1675586.8155263616
6108,1,361500.0,414523.6254827301
6678,1,830000.0,855579.7950055802
6795,1,472000.0,498350.0390956771
6936,1,315000.0,281813.21293138317
7003,1,513000.0,586612.0048210934
7381,1,460000.0,494849.25072275527
7807,1,485000.0,445808.4939856184
8414,1,212000.0,251102.98968878054
8456,1,299000.0,303969.74089059135
8624,1,299990.0,361513.6423018029
8656,1,440000.0,480099.2430049686
9341,1,339950.0,369711.266569425
10148,1,333500.0,365705.97231127927
10223,1,535000.0,560160.7830400816
10295,1,260000.0,337648.76611288066
10437,1,350000.0,341231.89316387114
10536,1,901000.0,993560.1126237693
11075,1,315000.0,299952.45687399566
11381,1,355000.0,480599.17037210165
11583,1,306500.0,311552.86690086714
11679,1,840000.0,846703.5634860975
11732,1,530000.0,474459.44144473365
11918,1,447000.0,474125.1186792311
12019,1,1100000.0,724541.094108359
12059,1,715000.0,548906.1287820976
12853,1,315000.0,337850.7917609809
12890,1,400000.0,378539.95856338384
12951,1,246000.0,354841.87236440054
13238,1,685000.0,412814.13073829137
13772,1,289000.0,252944.9239128998
14169,1,321500.0,312470.8454584495
14544,1,325250.0,291687.296425387
14589,1,1045000.0,1011692.9238809237
14777,1,299000.0,352038.01064048114
14896,1,667500.0,569079.7057565158
14980,1,935000.0,1186189.5914985545
15208,1,155000.0,190162.21363706244
15543,1,210000.0,273121.4713538055
15683,1,620000.0,604485.2189966877
15740,1,546200.0,607376.7632476862
15823,1,435000.0,432285.7984487619
15968,1,279950.0,248518.65016617952
15997,1,415000.0,387220.3681399145
16010,1,540000.0,542247.0872571889
16191,1,465000.0,363429.13569793967
16796,1,278000.0,279227.57613540156
16820,1,280500.0,277774.3071632079
17115,1,182500.0,186324.93926850086
17117,1,360000.0,454467.51707435853
17191,1,997950.0,813900.9419607457
17461,1,622200.0,426513.29733455164
17522,1,605000.0,696975.9405186168
17656,1,598555.0,657677.8457643159
17814,1,334500.0,305451.9897564892
17924,1,420000.0,509722.5886730676
18049,1,314000.0,232858.6549327143
18441,1,330000.0,339044.3512102455
18522,1,287500.0,319911.81144004315
18615,1,483000.0,529745.0821657542
18684,1,360000.0,398578.760200353
18962,1,450000.0,471367.54056717904
19059,1,218000.0,214235.28011647135
19522,1,268000.0,268738.6117518317
19970,1,600000.0,584754.0578731508
20461,1,489950.0,545463.4647044599
20580,1,289000.0,258216.30773983445
21033,1,1049990.0,1067605.3093235963
21370,1,331000.0,372047.9715552041
43,1,685000.0,586642.6516690179
82,1,355000.0,339306.39680576115
114,1,480000.0,476894.5687732423
430,1,328500.0,367228.84258036
560,1,460000.0,410895.9408605678
970,1,532500.0,492599.7174432966
1252,1,399000.0,453161.9670962403
1373,1,830000.0,792044.3776096542
1624,1,750000.0,687974.1169785891
2356,1,618000.0,689784.7917515391
2593,1,337500.0,315717.79567220947
3003,1,259000.0,279408.464564671
3054,1,308000.0,337860.57149042725
3131,1,759000.0,942448.920133058
3175,1,520000.0,656353.5780829097
3304,1,206000.0,239864.27084555218
3343,1,247300.0,350974.8206100659
3469,1,330000.0,323944.916459015
3483,1,209950.0,199941.38158141286
3686,1,436300.0,455713.7381248751
4375,1,352800.0,382659.6270485432
4476,1,400000.0,419076.3718346666
4567,1,599000.0,573499.19486946
4853,1,840000.0,741476.9296257197
5276,1,226450.0,207964.55059430396
5313,1,349000.0,309751.191098715
5629,1,350000.0,403469.22902590217
5636,1,420000.0,411700.0931928829
5675,1,1419000.0,1486509.3460359543
6051,1,312000.0,370329.84670454403
6096,1,427500.0,416660.6056226487
6117,1,277500.0,252437.60957229632
6168,1,435000.0,447329.8226959716
6306,1,313000.0,297627.87516379775
6366,1,817000.0,818640.6736859017
6616,1,299950.0,269157.45122880244
6755,1,350000.0,312038.0464798029
6976,1,415000.0,450056.2270535205
7097,1,285000.0,558455.2931665396
7133,1,445000.0,449757.22284375736
7197,1,235000.0,317085.9136175408
7289,1,390000.0,483358.4695136438
7334,1,483000.0,459852.9328318551
7887,1,439000.0,570692.1824778572
8020,1,450000.0,462613.57043343585
8073,1,270000.0,249866.20063532348
8612,1,340000.0,321009.1514178528
8629,1,575000.0,626218.6988770749
8673,1,1090000.0,957822.706057136
8744,1,490000.0,526543.8735442089
9075,1,765000.0,716351.0312550123
9194,1,240000.0,250411.30484899346
9312,1,370000.0,279326.1017524278
9338,1,217000.0,211486.7306667976
9620,1,473000.0,396768.1252981809
9713,1,1250000.0,1047224.3759264284
9753,1,246000.0,293581.4048336347
9974,1,230000.0,217764.02823533022
10065,1,315000.0,356495.9323642057
10144,1,245000.0,225845.25382868174
10280,1,550000.0,640090.7175860575
10345,1,324000.0,312807.2120377716
10384,1,695000.0,708433.4022783793
10500,1,476000.0,447744.6598779984
11014,1,397500.0,457936.1666960331
11372,1,292500.0,316409.93916878005
11412,1,484950.0,558280.4820288285
11439,1,935000.0,917110.9116993072
11462,1,290000.0,273730.38149395015
11526,1,825000.0,800350.4092166303
12396,1,943500.0,829427.5494819805
12563,1,845000.0,870536.5015943813
12566,1,400000.0,448604.10508527653
12576,1,309500.0,269310.7223959183
12620,1,669888.0,575941.8535842247
12658,1,290000.0,334680.3320320847
13500,1,372000.0,405968.2803970267
13527,1,940000.0,890140.3400590442
14038,1,202950.0,183001.608469421
14226,1,749500.0,676317.2177319876
14278,1,769950.0,727806.3876587569
14454,1,159995.0,169699.94433448953
14699,1,526500.0,512504.0975754206
14907,1,740000.0,835423.5929090151
15229,1,1395000.0,964735.7316794035
15290,1,340000.0,331892.7092346898
15490,1,320000.0,305619.93778478174
15578,1,369950.0,379342.71399713075
15815,1,322000.0,288258.8485927552
16247,1,255000.0,231507.41984695295
16429,1,865000.0,815026.3299866882
16599,1,710000.0,750931.2293724726
16881,1,353500.0,269342.7329247012
16884,1,547500.0,569232.992586871
16905,1,520000.0,593037.0547794132
17064,1,550000.0,775386.6650307624
17265,1,545000.0,812850.3281464662
17333,1,430000.0,409361.20604133635
17560,1,879000.0,1091291.9155641636
17621,1,450000.0,389136.6431129368
17796,1,389000.0,370139.3330995676
17939,1,424000.0,413588.12066140916
18574,1,397380.0,357260.43559949665
18604,1,815000.0,522839.1749382586
18722,1,1225000.0,924440.4303552364
18826,1,760000.0,616435.5045073591
18891,1,391265.0,437793.2604407734
19069,1,275000.0,291094.1665370156
19107,1,429000.0,398686.7792229934
19526,1,1010000.0,1105703.7040210583
20144,1,1575000.0,963946.3053731017
20219,1,515000.0,524373.8232667728
20305,1,849990.0,839534.4957027757
20906,1,274900.0,273957.9383553814
20954,1,492000.0,525128.0008060691
21243,1,630000.0,609226.3306452928
21323,1,1500000.0,1246424.2554600434
516,1,308000.0,273691.31952852523
820,1,325000.0,228777.77813102995
1146,1,510000.0,495830.6667504179
1628,1,880000.0,795854.7183494755
1639,1,810000.0,708800.6352109726
1676,1,2250000.0,1976358.5683002134
1682,1,390000.0,341109.3768136076
2190,1,568000.0,622842.4690975852
2231,1,529219.0,557530.6357752689
2687,1,385195.0,320520.1649915863
2777,1,325900.0,300114.313561022
3215,1,650000.0,582170.0452203342
3546,1,436000.0,450642.75303359487
3731,1,470000.0,467786.60980799916
3762,1,524500.0,491593.7180271852
3875,1,387000.0,423811.99448127736
4098,1,1055000.0,965859.2865745062
4241,1,865000.0,817880.5630997992
4350,1,659950.0,663897.3898073751
4417,1,299950.0,315694.03312853153
4424,1,355000.0,280081.47049933317
4602,1,435000.0,423952.09687796107
5075,1,465000.0,369172.0819778689
5256,1,294000.0,402552.80222537316
5723,1,96500.0,145892.18030874452
5820,1,653000.0,407698.2761028275
6129,1,590000.0,499028.0445287274
6413,1,481500.0,424911.08858920424
6587,1,740000.0,870967.6810904676
7282,1,600000.0,455187.5392819456
7344,1,922000.0,1047213.846954714
7419,1,393000.0,316010.79783451994
7839,1,315000.0,298058.2036423898
7869,1,231200.0,229205.3916502961
7993,1,342000.0,362381.88373985677
8202,1,389500.0,367048.66442940047
8243,1,695000.0,652094.0509400779
8306,1,549000.0,568177.0792585739
9123,1,245000.0,266997.53315452306
9421,1,329922.0,322183.3537947919
9606,1,608000.0,607418.981227424
9881,1,738000.0,878302.9138121275
9912,1,240000.0,304860.1306634638
10973,1,595000.0,597620.5171932769
11357,1,246950.0,266716.4638686768
11361,1,495000.0,482681.94134547043
11573,1,680000.0,608403.9947619592
11689,1,400000.0,260558.8138131121
12094,1,630000.0,631531.9901780969
12104,1,1430000.0,1311244.4548917199
12319,1,795127.0,919710.7869864082
12527,1,625000.0,649251.4916047114
13288,1,322000.0,311598.7410763121
13425,1,1169000.0,1168596.366509855
13797,1,535000.0,553582.1993820352
13894,1,467000.0,456905.86916354724
13922,1,572500.0,619269.8404706594
14231,1,815000.0,875947.8956839164
15161,1,650000.0,660972.4451084854
15442,1,195000.0,307103.34294071625
15707,1,480000.0,450592.04889390746
15780,1,359950.0,385007.31673817086
16272,1,276693.0,339865.2836759521
16597,1,376000.0,486529.27602434537
16610,1,270000.0,254254.77019901064
16633,1,205000.0,207627.15964424232
16695,1,221000.0,225452.69926204954
16962,1,152500.0,153860.1988307264
17000,1,495000.0,502214.4118090703
17384,1,297000.0,299222.4938569479
17444,1,979700.0,822555.292953037
17745,1,272450.0,278901.2602902724
17804,1,550000.0,602616.5682810355
17885,1,645000.0,638853.310916447
18039,1,344000.0,309516.8382013835
18108,1,290000.0,281073.6658679124
18189,1,770000.0,881702.7311271214
18379,1,265000.0,505696.6696338285
18572,1,299000.0,306118.4650768982
18639,1,410000.0,464802.1340269125
19239,1,340000.0,364186.296477103
19421,1,610000.0,610427.1706305387
19540,1,588000.0,591684.8711508409
19647,1,1040890.0,1063791.5346779095
19725,1,1375000.0,1127948.6627583024
19739,1,450000.0,482606.63261974265
20119,1,399000.0,414483.74734575005
20132,1,552000.0,535000.2799046
20500,1,1699990.0,1387970.126811246
20544,1,455000.0,478303.20123166486
20820,1,452000.0,477904.8411273703
21149,1,950000.0,969572.8650306106
21218,1,465000.0,471497.866994774
148,1,258000.0,277624.8750051804
493,1,669950.0,572508.7922942651
541,1,280000.0,312962.2339807589
1240,1,685100.0,674407.5060782654
1312,1,537250.0,513649.5469034594
1625,1,192000.0,206596.55273606075
2209,1,1050000.0,1155742.9981871652
2312,1,260000.0,260918.2758720364
2475,1,345000.0,300457.6271186702
3370,1,700000.0,545134.0532527841
3432,1,289950.0,300012.8010344789
3494,1,790000.0,729164.7609483224
3826,1,856000.0,858587.4649431913
3902,1,270000.0,382643.39664669964
4160,1,579100.0,517435.5190167168
4277,1,220000.0,209217.75683282677
4829,1,339950.0,315850.77406031574
4888,1,275000.0,245435.7703041181
5037,1,459000.0,424883.493232793
5198,1,813000.0,623953.7244401617
5540,1,538000.0,491682.3691570836
5621,1,110000.0,141367.13790714016
5744,1,404500.0,368143.75233046745
5830,1,759000.0,563350.1047353162
6190,1,445000.0,427568.46550297755
6561,1,1337500.0,1165374.8090463304
7271,1,1200000.0,1206042.9904370636
7423,1,935100.0,771881.0624053652
8473,1,236000.0,270911.98065090174
8640,1,225000.0,239433.78551509674
9398,1,685000.0,715021.913473243
9860,1,330000.0,374620.4492086554
9893,1,679000.0,676840.4370108839
10025,1,230000.0,265365.12453594245
10031,1,579500.0,531481.9721930705
10294,1,488500.0,402361.1085458416
10360,1,340500.0,415014.78473500995
10387,1,134000.0,213559.94950861967
10789,1,450000.0,439658.51396203414
11063,1,845000.0,796018.5721915899
11160,1,375000.0,391774.6285004825
11497,1,580000.0,566627.0010709133
11829,1,1785000.0,1533815.3503242042
12419,1,214950.0,213708.00014961528
12420,1,580000.0,605459.3145556579
12482,1,770000.0,794430.673276326
12581,1,478000.0,449844.90490023186
13004,1,490000.0,529479.5827208229
13345,1,1100000.0,1092736.3154196423
13395,1,230000.0,228058.93858375502
13740,1,750000.0,767615.8681120406
13845,1,430000.0,395318.3611634822
14039,1,622000.0,725994.1294705124
14528,1,294000.0,255330.99479928834
14637,1,415000.0,386080.85128688463
14818,1,219900.0,183203.04213787452
15322,1,999000.0,832997.632841277
15495,1,250000.0,223385.15279327895
15690,1,407000.0,491202.22324672167
15852,1,395000.0,398077.2338902452
15919,1,299250.0,350224.91293197876
15951,1,268950.0,254932.67690314105
16084,1,465000.0,524389.1299167009
16441,1,1220000.0,1285507.9206557374
16479,1,675000.0,495429.4483553395
16555,1,249900.0,221006.26383679255
16702,1,704000.0,823376.8565911367
16958,1,225000.0,293334.1110811801
17657,1,820000.0,902998.8611886583
18236,1,315000.0,339521.2626458485
18448,1,325000.0,328895.49594013224
18515,1,564000.0,487806.5469801101
18590,1,194250.0,252801.1203390512
19290,1,447000.0,407965.3819132049
19404,1,513000.0,487156.7139065525
19713,1,345000.0,340282.62707777444
19744,1,759990.0,706773.1314201577
19755,1,569900.0,422458.73956007045
19941,1,450000.0,410582.327566531
19986,1,1465000.0,1038347.6447248084
20400,1,306500.0,285204.8524017866
20535,1,2950000.0,1391909.372097938
20748,1,395000.0,450986.378278464
21133,1,613000.0,561641.5389581018
21417,1,598500.0,569003.174541606
1495,1,495000.0,521113.80410258356
1700,1,270000.0,269481.78188884753
2483,1,543000.0,481057.07241935167
2785,1,401000.0,373547.6453823606
2845,1,1400000.0,1277969.3725501455
3160,1,485000.0,545265.0699929689
3264,1,556000.0,555355.2685106148
3835,1,889000.0,851396.8265305143
4345,1,230000.0,234663.89499305096
4649,1,415900.0,349496.98815183825
5104,1,569950.0,525290.8658397095
5314,1,635000.0,707796.9545631313
5775,1,730000.0,759268.1788811797
6635,1,400000.0,358095.5610351983
7057,1,490000.0,546695.5117341415
7858,1,475000.0,518685.4386903103
8294,1,605000.0,624137.4635466341
8676,1,380000.0,285951.95844446204
9044,1,1348000.0,1120834.7927167276
10452,1,655000.0,644647.5068915122
10653,1,285000.0,271614.9300335446
11033,1,903000.0,1008090.139479136
11227,1,753000.0,681279.4890030853
13227,1,370000.0,507048.81019310234
13228,1,150000.0,236246.17327924643
13485,1,470000.0,472902.6105893743
14174,1,427500.0,515318.3490379611
15562,1,730000.0,747658.7224122726
15625,1,249950.0,248651.2744189012
16722,1,340000.0,283777.0018717397
17209,1,1450000.0,1601335.3941848397
17552,1,515000.0,534372.2288622477
19506,1,565000.0,561483.7905871008
20246,1,457000.0,404776.9443351074
20263,1,575000.0,575550.8523738906
20405,1,499000.0,460526.61715938395
21089,1,359950.0,351019.5513981007
21116,1,474950.0,438400.1084207104
21278,1,335900.0,325363.7103850691
21595,1,520000.0,530359.9700469204
2924,1,353000.0,358340.415974244
10094,1,350000.0,359422.5017765712
13029,1,644500.0,695496.0054090502
18148,1,399000.0,412082.5969373308
21473,1,1750000.0,1722112.7805324036
9158,1,825000.0,726104.7018128335
25,1,233000.0,216460.30795257314
86,1,305000.0,290874.36824500194
702,1,480000.0,437896.688773704
1275,1,363000.0,305366.4002961302
1528,1,555000.0,550540.7404912724
1807,1,930000.0,895793.3980032037
2166,1,265000.0,263285.041193783
2191,1,605000.0,650895.5970421537
2369,1,674750.0,683999.7516274406
2575,1,690000.0,710113.5393767112
2835,1,697000.0,698230.6463235676
2850,1,399950.0,352112.86908259965
3010,1,210000.0,190882.8054246392
3388,1,637000.0,651189.7887813704
3413,1,189000.0,147444.792550577
3554,1,277500.0,251374.20925505873
4188,1,585000.0,560198.1956530473
4737,1,425000.0,394515.72242123977
4741,1,666000.0,635765.0092818856
4797,1,369950.0,328134.38552793296
5074,1,435000.0,380747.65567257913
6416,1,238950.0,139287.74696298936
6634,1,612000.0,618212.7034372982
6670,1,1515000.0,1154344.7800845294
6780,1,292000.0,341787.3960090182
6838,1,508000.0,571090.4939185414
8086,1,650000.0,586751.7670729292
8283,1,296000.0,314624.9754653317
9236,1,500000.0,633403.2587824821
9321,1,290000.0,303517.96286651574
9326,1,720000.0,772008.556377769
9463,1,398500.0,401868.54930973426
9491,1,365000.0,393716.77849033574
9542,1,734000.0,700542.3634308317
9899,1,599950.0,473799.83683192084
10024,1,455000.0,426897.95075812924
10271,1,426950.0,405591.68114286795
10357,1,334000.0,314739.4002353714
10517,1,313000.0,293301.13252356235
10675,1,257700.0,269728.98017520027
10841,1,265000.0,248397.8623480949
11138,1,825000.0,677898.4995247961
11675,1,244000.0,334738.5503821696
11817,1,250000.0,268762.59921372886
11913,1,685000.0,722015.6864130225
12011,1,395000.0,361847.8024280518
12093,1,295000.0,315516.44116893434
12152,1,375000.0,349319.8085611554
12383,1,164000.0,180079.26608991507
13608,1,447500.0,561666.2031860435
13679,1,431000.0,438510.0883279217
13900,1,772000.0,905012.2722639773
13981,1,235000.0,215897.11429368382
13994,1,370000.0,480701.7751369723
14322,1,480000.0,394814.0458860939
14830,1,465000.0,514751.01738151157
15532,1,750500.0,774527.2227993942
17546,1,337000.0,379796.57357187103
17645,1,253000.0,225465.479184298
18499,1,550000.0,575656.800253833
18686,1,699950.0,680351.6004113625
19090,1,250000.0,298586.7134169215
19242,1,435000.0,511273.90996613266
19267,1,495000.0,540756.896407213
19314,1,316000.0,309295.2696437245
19741,1,660000.0,596004.6101434218
19749,1,379900.0,368223.6268886525
19926,1,409950.0,354955.4265818251
20081,1,599000.0,584056.1417262853
20082,1,478000.0,474301.547918946
20952,1,549900.0,470977.3761403223
21242,1,452000.0,430721.93616984744
21256,1,249950.0,251390.98671697595
123,1,445000.0,379756.187669773
149,1,511000.0,464084.1524261506
412,1,632925.0,660068.8924151561
462,1,230000.0,231984.0219079563
480,1,378500.0,457578.8559448791
765,1,560000.0,550865.510457266
864,1,280000.0,290893.2014744168
1338,1,825000.0,785508.2402078887
1643,1,238000.0,251259.4722649539
1657,1,400000.0,358139.23334650893
1747,1,397000.0,349149.81967103836
1960,1,800000.0,617636.6735976769
2050,1,235000.0,266603.7917476444
2476,1,340000.0,327313.7973985717
2930,1,295000.0,321693.83411961485
2987,1,392000.0,364183.45068258705
3449,1,546000.0,492807.5534014609
3497,1,457500.0,447629.0478667515
4956,1,611000.0,568674.3312620886
5310,1,390000.0,388678.40971216175
5423,1,665000.0,560409.9263639511
5804,1,272000.0,263900.82038072
5832,1,280000.0,163102.60227736112
